date,Salesforce,Docusign,Oracle,Shopify,Workday,Weekday
1/1/2024,12,11,25,51,31,2
1/2/2024,55,60,59,84,78,3
1/3/2024,67,70,75,91,81,4
1/4/2024,66,73,66,90,81,5
1/5/2024,65,63,63,81,70,6
1/6/2024,20,22,37,64,39,7
1/7/2024,15,17,36,60,34,1
1/8/2024,58,67,64,82,84,2
1/9/2024,68,70,70,84,81,3
1/10/2024,70,70,75,83,86,4
1/11/2024,69,76,76,88,83,5
1/12/2024,63,75,68,82,79,6
1/13/2024,21,26,38,62,43,7
1/14/2024,15,16,33,58,32,1
1/15/2024,29,41,41,78,57,2
1/16/2024,65,69,68,82,85,3
1/17/2024,72,78,77,93,90,4
1/18/2024,64,72,76,86,90,5
1/19/2024,63,66,72,80,83,6
1/20/2024,21,24,40,66,46,7
1/21/2024,15,16,31,57,38,1
1/22/2024,65,71,65,78,87,2
1/23/2024,69,71,72,96,91,3
1/24/2024,84,76,81,89,91,4
1/25/2024,74,75,76,90,90,5
1/26/2024,79,72,67,80,80,6
1/27/2024,30,26,42,65,51,7
1/28/2024,19,18,33,59,41,1
1/29/2024,67,72,73,82,90,2
1/30/2024,76,87,77,91,95,3
1/31/2024,79,88,75,92,93,4
2/1/2024,71,86,79,93,94,5
2/2/2024,71,76,67,87,82,6
2/3/2024,22,27,35,63,47,7
2/4/2024,16,17,34,64,38,1
2/5/2024,74,77,74,79,79,2
2/6/2024,71,100,76,84,83,3
2/7/2024,67,90,87,86,85,4
2/8/2024,73,83,84,89,80,5
2/9/2024,63,77,68,85,78,6
2/10/2024,21,25,35,62,42,7
2/11/2024,15,19,32,58,35,1
2/12/2024,58,70,63,75,73,2
2/13/2024,75,81,76,100,80,3
2/14/2024,77,79,74,85,77,4
2/15/2024,78,80,78,84,84,5
2/16/2024,67,83,68,82,75,6
2/17/2024,21,24,35,60,44,7
2/18/2024,15,17,32,60,36,1
2/19/2024,49,49,56,78,70,2
2/20/2024,66,84,85,85,84,3
2/21/2024,72,82,75,89,80,4
2/22/2024,69,75,78,84,77,5
2/23/2024,62,71,70,76,75,6
2/24/2024,22,25,38,57,43,7
2/25/2024,20,18,35,56,38,1
2/26/2024,72,80,72,80,81,2
2/27/2024,70,92,76,80,76,3
2/28/2024,76,83,90,81,75,4
2/29/2024,76,78,73,80,80,5
3/1/2024,66,72,67,77,73,6
3/2/2024,23,26,37,64,43,7
3/3/2024,18,18,33,56,34,1
3/4/2024,65,72,68,80,78,2
3/5/2024,71,75,75,81,76,3
3/6/2024,74,80,71,82,75,4
3/7/2024,70,87,72,80,77,5
3/8/2024,63,71,68,73,69,6
3/9/2024,24,26,38,58,42,7
3/10/2024,15,18,33,51,36,1
3/11/2024,68,72,84,79,74,2
3/12/2024,73,82,95,78,74,3
3/13/2024,75,85,91,82,77,4
3/14/2024,68,76,80,80,73,5
3/15/2024,59,73,70,77,65,6
3/16/2024,21,24,38,58,43,7
3/17/2024,15,18,34,51,37,1
3/18/2024,67,76,72,80,77,2
3/19/2024,73,83,83,78,77,3
3/20/2024,70,87,70,80,77,4
3/21/2024,64,73,72,77,72,5
3/22/2024,60,71,69,70,67,6
3/23/2024,20,22,33,56,41,7
3/24/2024,18,20,36,50,35,1
3/25/2024,64,75,67,75,80,2
3/26/2024,75,80,74,79,77,3
3/27/2024,70,83,80,78,83,4
3/28/2024,60,79,75,76,82,5
3/29/2024,52,65,61,69,69,6
3/30/2024,19,23,31,46,38,7
3/31/2024,14,14,31,46,35,1
4/1/2024,61,70,69,74,83,2
4/2/2024,74,83,75,73,77,3
4/3/2024,69,84,80,75,82,4
4/4/2024,71,75,76,76,79,5
4/5/2024,59,69,71,69,72,6
4/6/2024,19,24,40,50,37,7
4/7/2024,15,17,38,51,37,1
4/8/2024,57,67,61,65,73,2
4/9/2024,71,77,75,75,82,3
4/10/2024,72,77,82,88,82,4
4/11/2024,70,84,72,73,81,5
4/12/2024,60,84,68,72,77,6
4/13/2024,21,27,35,50,43,7
